P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33623335,0.33108333,0.33268332,1,1.001,999999,0,0,0,0,0,0.001,10000,500
0.33943334,0.32808334,0.33248332,1,1.001,999999,0,0,0,0,0,0.01,10000,500
0.33025,0.33295,0.3368,1,1.001,999999,0,0,0,0,0,0.05,10000,500
0.33645,0.3264,0.33715,1,1.001,999999,0,0,0,0,0,0.1,10000,500
0.33618334,0.33058333,0.33323333,1,1.001,999999,0,0,0,0,0,0.2,10000,500
0.33725,0.3328,0.32995,1,1.001,999999,0,0,0,5,0,0.001,10000,500
0.3321,0.33445,0.33345,1,1.001,999999,0,0,0,5,0,0.01,10000,500
0.33966666,0.33106667,0.32926667,1,1.001,999999,0,0,0,5,0,0.05,10000,500
0.3361,0.33545,0.32845,1,1.001,999999,0,0,0,5,0,0.1,10000,500
0.32446668,0.33896667,0.33656666,1,1.001,999999,0,0,0,5,0,0.2,10000,500
0.33396667,0.33496666,0.33106667,1,1.001,999999,0,0,0,10,0,0.001,10000,500
0.33045,0.3247,0.34485,1,1.001,999999,0,0,0,10,0,0.01,10000,500
0.32991666,0.32981667,0.34026667,1,1.001,999999,0,0,0,10,0,0.05,10000,500
0.33218333,0.33018333,0.33763334,1,1.001,999999,0,0,0,10,0,0.1,10000,500
0.32606667,0.32986668,0.34406668,1,1.001,999999,0,0,0,10,0,0.2,10000,500
0.32718334,0.33098334,0.34183332,1,1.001,999999,5,0,0,0,0,0.001,10000,500
0.32095,0.31495,0.3641,1,1.001,999999,5,0,0,0,0,0.01,10000,500
0.3192,0.31615,0.36465,1,1.001,999999,5,0,0,0,0,0.05,10000,500
0.31463334,0.31803334,0.36733332,1,1.001,999999,5,0,0,0,0,0.1,10000,500
0.3117,0.31865,0.36965,1,1.001,999999,5,0,0,0,0,0.2,10000,500
0.33711666,0.33216667,0.33071667,1,1.001,999999,5,0,0,5,0,0.001,10000,500
0.32546666,0.31886667,0.35566667,1,1.001,999999,5,0,0,5,0,0.01,10000,500
0.31391665,0.32171667,0.36436668,1,1.001,999999,5,0,0,5,0,0.05,10000,500
0.32563335,0.30878332,0.36558333,1,1.001,999999,5,0,0,5,0,0.1,10000,500
0.32081667,0.32066667,0.35851666,1,1.001,999999,5,0,0,5,0,0.2,10000,500
0.32508335,0.34048334,0.33443335,1,1.001,999999,5,0,0,10,0,0.001,10000,500
0.31786665,0.31846666,0.36366665,1,1.001,999999,5,0,0,10,0,0.01,10000,500
0.31823334,0.31713334,0.36463332,1,1.001,999999,5,0,0,10,0,0.05,10000,500
0.3224,0.312,0.3656,1,1.001,999999,5,0,0,10,0,0.1,10000,500
0.3259,0.3203,0.3538,1,1.001,999999,5,0,0,10,0,0.2,10000,500
0.32343334,0.33128333,0.34528333,1,1.001,999999,10,0,0,0,0,0.001,10000,500
0.31156668,0.32021666,0.36821666,1,1.001,999999,10,0,0,0,0,0.01,10000,500
0.31703332,0.30788332,0.37508333,1,1.001,999999,10,0,0,0,0,0.05,10000,500
0.30255,0.31255,0.3849,1,1.001,999999,10,0,0,0,0,0.1,10000,500
0.30665,0.315,0.37835,1,1.001,999999,10,0,0,0,0,0.2,10000,500
0.32478333,0.33863333,0.33658335,1,1.001,999999,10,0,0,5,0,0.001,10000,500
0.30878332,0.31673333,0.37448335,1,1.001,999999,10,0,0,5,0,0.01,10000,500
0.30648333,0.30428332,0.38923332,1,1.001,999999,10,0,0,5,0,0.05,10000,500
0.32636666,0.30276668,0.37086666,1,1.001,999999,10,0,0,5,0,0.1,10000,500
0.31398332,0.31388333,0.37213334,1,1.001,999999,10,0,0,5,0,0.2,10000,500
0.33161667,0.32466668,0.34371668,1,1.001,999999,10,0,0,10,0,0.001,10000,500
0.32035,0.3057,0.37395,1,1.001,999999,10,0,0,10,0,0.01,10000,500
0.31453332,0.30958334,0.37588334,1,1.001,999999,10,0,0,10,0,0.05,10000,500
0.321,0.30845,0.37055,1,1.001,999999,10,0,0,10,0,0.1,10000,500
0.3186,0.30745,0.37395,1,1.001,999999,10,0,0,10,0,0.2,10000,500
0.34031665,0.33201668,0.32766667,1,1.01,999999,0,0,0,0,0,0.001,10000,500
0.33793333,0.32648334,0.33558333,1,1.01,999999,0,0,0,0,0,0.01,10000,500
0.33721668,0.32926667,0.33351666,1,1.01,999999,0,0,0,0,0,0.05,10000,500
0.33913332,0.33828333,0.32258335,1,1.01,999999,0,0,0,0,0,0.1,10000,500
0.33688334,0.32883334,0.33428332,1,1.01,999999,0,0,0,0,0,0.2,10000,500
0.33758333,0.33648333,0.32593334,1,1.01,999999,0,0,0,5,0,0.001,10000,500
0.33145,0.33505,0.3335,1,1.01,999999,0,0,0,5,0,0.01,10000,500
0.34181666,0.33376667,0.32441667,1,1.01,999999,0,0,0,5,0,0.05,10000,500
0.33456665,0.33466667,0.33076668,1,1.01,999999,0,0,0,5,0,0.1,10000,500
0.34088334,0.32688335,0.33223334,1,1.01,999999,0,0,0,5,0,0.2,10000,500
