P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.3164,0.3011,0.3825,1,1.02,999999,10,0,0,0,0,0.01,10000,50
0.3279,0.2964,0.3757,1,1.02,999999,11,0,0,0,0,0.1,10000,50
0.3237,0.2886,0.3877,1,1.02,999999,11,0,0,0,0,0.01,10000,50
0.3258,0.2865,0.3877,1,1.02,999999,12,0,0,0,0,0.1,10000,50
0.3224,0.291,0.3866,1,1.02,999999,12,0,0,0,0,0.01,10000,50
0.3231,0.284,0.3929,1,1.02,999999,13,0,0,0,0,0.1,10000,50
0.3118,0.2931,0.3951,1,1.02,999999,13,0,0,0,0,0.01,10000,50
0.3154,0.2947,0.3899,1,1.02,999999,14,0,0,0,0,0.1,10000,50
0.317,0.2838,0.3992,1,1.02,999999,14,0,0,0,0,0.01,10000,50
0.3072,0.2932,0.3996,1,1.02,999999,15,0,0,0,0,0.1,10000,50
0.3161,0.2841,0.3998,1,1.02,999999,15,0,0,0,0,0.01,10000,50
0.316,0.2891,0.3949,1,1.02,999999,16,0,0,0,0,0.1,10000,50
0.3136,0.2895,0.3969,1,1.02,999999,16,0,0,0,0,0.01,10000,50
0.3159,0.2979,0.3862,1,1.02,999999,17,0,0,0,0,0.1,10000,50
0.3048,0.2962,0.399,1,1.02,999999,17,0,0,0,0,0.01,10000,50
0.3072,0.2927,0.4001,1,1.02,999999,18,0,0,0,0,0.1,10000,50
0.3088,0.2889,0.4023,1,1.02,999999,18,0,0,0,0,0.01,10000,50
0.3067,0.285,0.4083,1,1.02,999999,19,0,0,0,0,0.1,10000,50
0.3095,0.2824,0.4081,1,1.02,999999,19,0,0,0,0,0.01,10000,50
0.3113,0.2905,0.3982,1,1.02,999999,20,0,0,0,0,0.1,10000,50
0.3172,0.286,0.3968,1,1.02,999999,20,0,0,0,0,0.01,10000,50
0.3632,0.3165,0.3203,1,1.03,999999,0,0,0,0,0,0.1,10000,50
0.3528,0.3258,0.3214,1,1.03,999999,0,0,0,0,0,0.01,10000,50
0.353,0.3155,0.3315,1,1.03,999999,1,0,0,0,0,0.1,10000,50
0.3481,0.3225,0.3294,1,1.03,999999,1,0,0,0,0,0.01,10000,50
0.3443,0.3186,0.3371,1,1.03,999999,2,0,0,0,0,0.1,10000,50
0.3447,0.3092,0.3461,1,1.03,999999,2,0,0,0,0,0.01,10000,50
0.3426,0.3119,0.3455,1,1.03,999999,3,0,0,0,0,0.1,10000,50
0.3378,0.3105,0.3517,1,1.03,999999,3,0,0,0,0,0.01,10000,50
0.3444,0.3076,0.348,1,1.03,999999,4,0,0,0,0,0.1,10000,50
0.3335,0.3039,0.3626,1,1.03,999999,4,0,0,0,0,0.01,10000,50
0.3323,0.3059,0.3618,1,1.03,999999,5,0,0,0,0,0.1,10000,50
0.3229,0.3106,0.3665,1,1.03,999999,5,0,0,0,0,0.01,10000,50
0.3348,0.301,0.3642,1,1.03,999999,6,0,0,0,0,0.1,10000,50
0.329,0.2998,0.3712,1,1.03,999999,6,0,0,0,0,0.01,10000,50
0.3283,0.3031,0.3686,1,1.03,999999,7,0,0,0,0,0.1,10000,50
0.3306,0.2968,0.3726,1,1.03,999999,7,0,0,0,0,0.01,10000,50
0.3324,0.3038,0.3638,1,1.03,999999,8,0,0,0,0,0.1,10000,50
0.3337,0.2876,0.3787,1,1.03,999999,8,0,0,0,0,0.01,10000,50
0.3334,0.2905,0.3761,1,1.03,999999,9,0,0,0,0,0.1,10000,50
0.3279,0.2935,0.3786,1,1.03,999999,9,0,0,0,0,0.01,10000,50
0.3334,0.2943,0.3723,1,1.03,999999,10,0,0,0,0,0.1,10000,50
