P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33906665,0.33253333,0.3284,0.1,0.11,999999,0,0,0,0,0,0.1,15000,500
0.333,0.3304,0.3366,0.1,0.11,999999,1,0,0,0,0,0.1,15000,500
0.33666667,0.3328,0.33053333,0.1,0.11,999999,2,0,0,0,0,0.1,15000,500
0.3454,0.32213333,0.33246666,0.1,0.11,999999,3,0,0,0,0,0.1,15000,500
0.33826667,0.32533333,0.3364,0.1,0.11,999999,4,0,0,0,0,0.1,15000,500
0.3464,0.324,0.3296,0.1,0.11,999999,5,0,0,0,0,0.1,15000,500
0.3284,0.3264,0.3452,0.1,0.11,999999,6,0,0,0,0,0.1,15000,500
0.33653334,0.32213333,0.34133333,0.1,0.11,999999,7,0,0,0,0,0.1,15000,500
0.33006668,0.32546666,0.34446666,0.1,0.11,999999,8,0,0,0,0,0.1,15000,500
0.3338,0.32333332,0.34286666,0.1,0.11,999999,9,0,0,0,0,0.1,15000,500
0.33793333,0.31953335,0.34253332,0.1,0.11,999999,10,0,0,0,0,0.1,15000,500
0.32753333,0.3248,0.34766668,0.1,0.11,999999,11,0,0,0,0,0.1,15000,500
0.32986668,0.327,0.34313333,0.1,0.11,999999,12,0,0,0,0,0.1,15000,500
0.33246666,0.31833333,0.3492,0.1,0.11,999999,13,0,0,0,0,0.1,15000,500
0.334,0.3186,0.3474,0.1,0.11,999999,14,0,0,0,0,0.1,15000,500
0.33813334,0.3148,0.34706667,0.1,0.11,999999,15,0,0,0,0,0.1,15000,500
0.32666665,0.3242,0.34913334,0.1,0.11,999999,16,0,0,0,0,0.1,15000,500
0.32893333,0.31593335,0.35513332,0.1,0.11,999999,17,0,0,0,0,0.1,15000,500
0.3248,0.32066667,0.35453334,0.1,0.11,999999,18,0,0,0,0,0.1,15000,500
0.32846665,0.3218,0.34973332,0.1,0.11,999999,19,0,0,0,0,0.1,15000,500
0.3254,0.32246667,0.35213333,0.1,0.11,999999,20,0,0,0,0,0.1,15000,500
0.34066668,0.3324,0.32693332,0.5,0.51,999999,0,0,0,0,0,0.1,15000,500
0.33646667,0.332,0.33153334,0.5,0.51,999999,1,0,0,0,0,0.1,15000,500
0.33066666,0.3292,0.34013334,0.5,0.51,999999,2,0,0,0,0,0.1,15000,500
0.3322,0.3238,0.344,0.5,0.51,999999,3,0,0,0,0,0.1,15000,500
0.33526668,0.32006666,0.34466666,0.5,0.51,999999,4,0,0,0,0,0.1,15000,500
0.3228,0.3172,0.36,0.5,0.51,999999,5,0,0,0,0,0.1,15000,500
0.32553333,0.3166,0.35786667,0.5,0.51,999999,6,0,0,0,0,0.1,15000,500
0.3232,0.31273332,0.36406666,0.5,0.51,999999,7,0,0,0,0,0.1,15000,500
0.3162,0.31153333,0.37226668,0.5,0.51,999999,8,0,0,0,0,0.1,15000,500
0.32726666,0.30013335,0.3726,0.5,0.51,999999,9,0,0,0,0,0.1,15000,500
0.32466668,0.30566666,0.36966667,0.5,0.51,999999,10,0,0,0,0,0.1,15000,500
0.318,0.3084,0.3736,0.5,0.51,999999,11,0,0,0,0,0.1,15000,500
