Expected d-ab,Expected d-ac,Expected d-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
36.387,37.083,37.627,1,1.01,999999,0,0,0,0,0,0.02,1000,500
37.658,37.474,38.007,1,1.01,999999,1,0,0,0,0,0.02,1000,500
37.397,37.909,37.296,1,1.01,999999,2,0,0,0,0,0.02,1000,500
36.762,37.367,37.228,1,1.01,999999,3,0,0,0,0,0.02,1000,500
37.637,38.756,38.872,1,1.01,999999,4,0,0,0,0,0.02,1000,500
37.096,36.952,37.62,1,1.01,999999,5,0,0,0,0,0.02,1000,500
36.826,37.221,36.749,1,1.01,999999,6,0,0,0,0,0.02,1000,500
36.685,36.961,37.787,1,1.01,999999,7,0,0,0,0,0.02,1000,500
37.596,36.919,37.461,1,1.01,999999,8,0,0,0,0,0.02,1000,500
37.509,37.349,37.759,1,1.01,999999,9,0,0,0,0,0.02,1000,500
36.665,37.591,36.935,1,1.01,999999,10,0,0,0,0,0.02,1000,500
37.7,37.888,38.262,1,1.01,999999,11,0,0,0,0,0.02,1000,500
37.965,38.065,37.639,1,1.01,999999,12,0,0,0,0,0.02,1000,500
37.671,37.641,36.862,1,1.01,999999,13,0,0,0,0,0.02,1000,500
37.187,36.883,36.986,1,1.01,999999,14,0,0,0,0,0.02,1000,500
37.139,36.849,37.336,1,1.01,999999,15,0,0,0,0,0.02,1000,500
38.348,38.518,38.269,1,1.01,999999,16,0,0,0,0,0.02,1000,500
37.808,38.186,37.168,1,1.01,999999,17,0,0,0,0,0.02,1000,500
37.089,37.324,37.041,1,1.01,999999,18,0,0,0,0,0.02,1000,500
37.534,37.657,38.173,1,1.01,999999,19,0,0,0,0,0.02,1000,500
37.845,37.814,38.28,1,1.01,999999,20,0,0,0,0,0.02,1000,500
