Expected d-ab,Expected d-ac,Expected d-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
153.745,151.565,157.9425,1,1.01,999999,0,0,0,0,0,0.1,400,500
148.0275,146.3125,147.4,1,1.01,999999,1,0,0,0,0,0.1,400,500
149.615,152.3525,150.26,1,1.01,999999,2,0,0,0,0,0.1,400,500
146.1225,147.16,148.7125,1,1.01,999999,3,0,0,0,0,0.1,400,500
145.265,144.8575,147.4975,1,1.01,999999,4,0,0,0,0,0.1,400,500
149.605,150.53,149.8625,1,1.01,999999,5,0,0,0,0,0.1,400,500
148.265,149.1775,149.6075,1,1.01,999999,6,0,0,0,0,0.1,400,500
149.1975,150.925,149.6475,1,1.01,999999,7,0,0,0,0,0.1,400,500
150.9,149.045,151.2175,1,1.01,999999,8,0,0,0,0,0.1,400,500
148.4025,149.66,149.865,1,1.01,999999,9,0,0,0,0,0.1,400,500
149.4925,144.5925,145.7125,1,1.01,999999,10,0,0,0,0,0.1,400,500
145.3975,149.9525,148.7575,1,1.01,999999,11,0,0,0,0,0.1,400,500
147.2875,146.6325,151.4275,1,1.01,999999,12,0,0,0,0,0.1,400,500
146.4275,150.95,145.5975,1,1.01,999999,13,0,0,0,0,0.1,400,500
145.77,146.69,146.3575,1,1.01,999999,14,0,0,0,0,0.1,400,500
146.2225,147.1425,143.38,1,1.01,999999,15,0,0,0,0,0.1,400,500
149.2275,149.8975,150.2125,1,1.01,999999,16,0,0,0,0,0.1,400,500
151.9,149.8775,151.595,1,1.01,999999,17,0,0,0,0,0.1,400,500
151.2225,150.5325,150.645,1,1.01,999999,18,0,0,0,0,0.1,400,500
152.1,151.9325,153.25,1,1.01,999999,19,0,0,0,0,0.1,400,500
149.765,146.005,149.285,1,1.01,999999,20,0,0,0,0,0.1,400,500
