Expected d-ab,Expected d-ac,Expected d-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
19.32893,19.41886,19.51159,1,1.01,999999,0,0,0,0,0,0.01,100000,500
19.34243,19.41017,19.4385,1,1.01,999999,1,0,0,0,0,0.01,100000,500
19.40284,19.41518,19.42081,1,1.01,999999,2,0,0,0,0,0.01,100000,500
19.35171,19.43854,19.44116,1,1.01,999999,3,0,0,0,0,0.01,100000,500
19.3237,19.39791,19.37317,1,1.01,999999,4,0,0,0,0,0.01,100000,500
19.36067,19.45005,19.40901,1,1.01,999999,5,0,0,0,0,0.01,100000,500
19.34543,19.49151,19.50656,1,1.01,999999,6,0,0,0,0,0.01,100000,500
19.32152,19.40603,19.45157,1,1.01,999999,7,0,0,0,0,0.01,100000,500
19.34516,19.47374,19.49072,1,1.01,999999,8,0,0,0,0,0.01,100000,500
19.34711,19.43937,19.41644,1,1.01,999999,9,0,0,0,0,0.01,100000,500
19.32291,19.43631,19.47261,1,1.01,999999,10,0,0,0,0,0.01,100000,500
19.30647,19.38908,19.39237,1,1.01,999999,11,0,0,0,0,0.01,100000,500
19.36026,19.39027,19.4206,1,1.01,999999,12,0,0,0,0,0.01,100000,500
19.34925,19.43501,19.43222,1,1.01,999999,13,0,0,0,0,0.01,100000,500
19.35566,19.44197,19.44846,1,1.01,999999,14,0,0,0,0,0.01,100000,500
19.40218,19.46967,19.45211,1,1.01,999999,15,0,0,0,0,0.01,100000,500
19.31224,19.40883,19.45278,1,1.01,999999,16,0,0,0,0,0.01,100000,500
19.35565,19.44228,19.49913,1,1.01,999999,17,0,0,0,0,0.01,100000,500
19.33117,19.42408,19.48016,1,1.01,999999,18,0,0,0,0,0.01,100000,500
19.35974,19.45271,19.47735,1,1.01,999999,19,0,0,0,0,0.01,100000,500
19.3271,19.44828,19.46337,1,1.01,999999,20,0,0,0,0,0.01,100000,500
