P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.34355557,0.32422224,0.33222222,1,1.01,999999,0,0,0,0,0,0.1,15000,500
0.3358889,0.33218887,0.33192223,1,1.01,999999,1,0,0,0,0,0.1,15000,500
0.33123332,0.32646668,0.3423,1,1.01,999999,2,0,0,0,0,0.1,15000,500
0.33693334,0.3232,0.33986667,1,1.01,999999,3,0,0,0,0,0.1,15000,500
0.32788888,0.3182889,0.35382223,1,1.01,999999,4,0,0,0,0,0.1,15000,500
0.33187777,0.31811112,0.3500111,1,1.01,999999,5,0,0,0,0,0.1,15000,500
0.32345554,0.31712222,0.35942224,1,1.01,999999,6,0,0,0,0,0.1,15000,500
0.32145557,0.30835557,0.3701889,1,1.01,999999,7,0,0,0,0,0.1,15000,500
0.3175889,0.31355557,0.36885557,1,1.01,999999,8,0,0,0,0,0.1,15000,500
0.3219,0.3106,0.3675,1,1.01,999999,9,0,0,0,0,0.1,15000,500
0.31685555,0.30978888,0.37335557,1,1.01,999999,10,0,0,0,0,0.1,15000,500
0.31553334,0.3112,0.37326667,1,1.01,999999,11,0,0,0,0,0.1,15000,500
0.31646666,0.31256667,0.37096667,1,1.01,999999,12,0,0,0,0,0.1,15000,500
0.32452223,0.30462223,0.37085557,1,1.01,999999,13,0,0,0,0,0.1,15000,500
0.31993333,0.30656666,0.3735,1,1.01,999999,14,0,0,0,0,0.1,15000,500
0.31971112,0.30501112,0.3752778,1,1.01,999999,15,0,0,0,0,0.1,15000,500
0.3129222,0.3062889,0.3807889,1,1.01,999999,16,0,0,0,0,0.1,15000,500
0.31611112,0.30254444,0.38134444,1,1.01,999999,17,0,0,0,0,0.1,15000,500
0.3197,0.3016,0.3787,1,1.01,999999,18,0,0,0,0,0.1,15000,500
0.3092889,0.30325556,0.38745555,1,1.01,999999,19,0,0,0,0,0.1,15000,500
0.31226668,0.29893333,0.3888,1,1.01,999999,20,0,0,0,0,0.1,15000,500
